Table,Field,Mô tả (Tiếng Việt)
Customer Churn,Streaming TV,"Cho biết nếu khách hàng sử dụng dịch vụ Internet của họ để truyền phát chương trình truyền hình từ nhà cung cấp bên thứ ba mà không phải trả thêm phí: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Streaming Movies,"Cho biết nếu khách hàng sử dụng dịch vụ Internet của họ để truyền phát phim từ nhà cung cấp bên thứ ba mà không phải trả thêm phí: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Streaming Music,"Cho biết nếu khách hàng sử dụng dịch vụ Internet của họ để phát nhạc từ nhà cung cấp bên thứ ba mà không phải trả thêm phí: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Unlimited Data,"Cho biết nếu khách hàng đã trả thêm một khoản phí hàng tháng để tải xuống dữ liệu/tải lên không giới hạn: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Contract,"Cho biết loại hợp đồng hiện tại của khách hàng: hàng tháng, một năm, hai năm"
Customer Churn,Paperless Billing,"Cho biết nếu khách hàng đã chọn thanh toán không giấy tờ: Có, không"
Customer Churn,Payment Method,"Cho biết cách khách hàng thanh toán hóa đơn của họ: rút tiền ngân hàng, thẻ tín dụng, séc qua thư"
Customer Churn,Monthly Charge,Cho biết tổng phí hàng tháng hiện tại của khách hàng cho tất cả các dịch vụ của họ từ công ty
Customer Churn,Total Charges,"Cho biết tổng phí của khách hàng, được tính đến cuối quý được chỉ định ở trên"
Customer Churn,Total Refunds,"Cho biết tổng số tiền hoàn lại của khách hàng, được tính đến cuối quý được chỉ định ở trên"
Customer Churn,Total Extra Data Charges,"Cho biết tổng phí của khách hàng cho các bản tải xuống dữ liệu thêm trên các khoản tải xuống được chỉ định trong gói của họ, vào cuối quý được chỉ định ở trên"
Customer Churn,Total Long Distance Charges,"Cho biết tổng phí của khách hàng trong khoảng cách xa trên các khoản phí được chỉ định trong kế hoạch của họ, vào cuối quý được chỉ định ở trên"
Customer Churn,Total Revenue,"Cho biết tổng doanh thu của công ty từ khách hàng này, được tính đến cuối quý được chỉ định ở trên (tổng phí - tổng số tái sử dụng + tổng phí dữ liệu thêm + tổng phí khoảng cách lond)"
Customer Churn,Customer Status,"Chỉ ra tình trạng của khách hàng vào cuối quý: đã khuấy động, ở lại hoặc tham gia"
Customer Churn,Churn Category,"Một danh mục cấp cao vì lý do của khách hàng, được hỏi khi họ rời khỏi công ty: thái độ, đối thủ cạnh tranh, sự không hài lòng, khác, giá cả (liên quan trực tiếp đến lý do churn)"
Customer Churn,Churn Reason,"Lý do cụ thể của khách hàng để rời khỏi công ty, được hỏi khi họ rời công ty (liên quan trực tiếp đến danh mục Churn)"
Zip Code Population,Zip Code,Mã zip của nơi cư trú chính của khách hàng
Zip Code Population,Population,Ước tính dân số hiện tại cho toàn bộ khu vực mã zip
